method,model,n_known_anomalies,roc_auc,pr_auc,representation,k_per_class,dataset,encoder,date
"DeepSAD (SetFit, k=20)",DeepSAD,100,0.9996336199386102,0.9943966110922725,SetFit,20,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
"DeepSAD (SetFit, k=20)",DeepSAD,200,0.9995968877473654,0.9933034570141698,SetFit,20,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
"DeepSAD (SetFit, k=20)",DeepSAD,500,0.9999438028868991,0.9987554999229713,SetFit,20,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
MLP (Original),MLP,5,0.7259707894313008,0.1263860929609388,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
MLP (Original),MLP,10,0.7406795204219995,0.1813687402812766,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
MLP (Original),MLP,20,0.7532554296928593,0.21576713754034677,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
MLP (Original),MLP,50,0.8319543064098928,0.31421490463487056,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
MLP (Original),MLP,100,0.8477488346947791,0.3332034397819283,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
MLP (Original),MLP,200,0.8629575316218642,0.4156846067140957,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
MLP (Original),MLP,500,0.9081858473064784,0.5356282830716755,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
"MLP (SetFit, k=20)",MLP,5,0.9998458503769132,0.9975003332340617,SetFit,20,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
"MLP (SetFit, k=20)",MLP,10,0.9998471061783232,0.9894683168103788,SetFit,20,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
"MLP (SetFit, k=20)",MLP,20,0.999476330811998,0.9663012931357307,SetFit,20,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
"MLP (SetFit, k=20)",MLP,50,0.9998894894759133,0.9963018830322405,SetFit,20,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
"MLP (SetFit, k=20)",MLP,100,0.999860919993834,0.99601199063617,SetFit,20,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
"MLP (SetFit, k=20)",MLP,200,0.9999102101991795,0.997455065874526,SetFit,20,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
"MLP (SetFit, k=20)",MLP,500,0.9999720584186258,0.9994370223769038,SetFit,20,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260122_230820
